Designator,Mid X,Mid Y,Rotation,Layer
C1,21.005,-70.98,180.0,top
C10,16.02,-60.72,0.0,top
C11,8.52,-59.4,180.0,top
C12,16.02,-59.72,0.0,top
C13,8.52,-60.4,180.0,top
C14,21.98,-73.5,180.0,top
C15,32.48,-69.0,0.0,top
C16,19.02,-73.5,0.0,top
C17,21.5,-75.12,90.0,top
C18,30.52,-69.0,180.0,top
C19,19.5,-75.12,90.0,top
C2,21.005,-69.98,180.0,top
C20,8.6,-27.48,270.0,top
C21,20.5,-75.12,90.0,top
C22,8.8,-25.02,270.0,top
C23,20.62,-32.5,0.0,top
C24,20.62,-27.7,0.0,top
C25,23.4,-77.22,90.0,top
C26,18.5,-75.12,90.0,top
C27,22.48,-82.2,180.0,top
C28,23.4,-79.35,270.0,top
C29,19.5,-82.93,270.0,top
C3,4.3,-71.92,90.0,top
C30,30.98,-34.2,180.0,top
C31,34.68,-29.3,180.0,top
C32,34.68,-30.8,0.0,top
C33,34.2,-27.32,270.0,top
C34,5.82,-23.0,180.0,top
C35,26.06,-5.5,0.0,top
C36,24.92,-31.0,0.0,top
C37,30.98,-25.4,180.0,top
C38,12.2,-26.52,90.0,top
C39,24.92,-33.0,0.0,top
C4,14.0,-62.93,90.0,top
C40,36.975,-71.4,0.0,top
C41,45.475,-77.4,180.0,top
C42,36.975,-64.9,0.0,top
C43,27.275,-79.3,0.0,top
C44,10.5,-74.92,270.0,top
C45,51.225,-78.1,180.0,top
C46,27.275,-73.4,0.0,top
C47,42.7,-75.275,270.0,top
C5,14.0,-67.72,270.0,top
C6,16.76,-70.98,0.0,top
C7,16.72,-69.98,180.0,top
C8,8.52,-58.4,180.0,top
C9,35.17,-79.0,0.0,top
D1,22.7125,-34.7,0.0,top
D2,13.8,-6.5,0.0,top
D3,9.925,-12.0,0.0,top
D4,44.85,-73.015,90.0,top
D5,46.565,-71.4,180.0,top
J1,50.0,-45.5,90.0,top
J2,20.0,-89.5,270.0,top
J3,36.75,-94.48,0.0,top
J4,49.15,-84.5,270.0,top
J5,11.908295,-88.19795,135.0,bottom
J6,45.475,-28.48,270.0,top
Q1,42.5625,-59.55,180.0,top
Q2,7.1,-10.9375,90.0,top
Q3,15.2,-20.45,0.0,top
R1,17.5,-60.29,90.0,top
R10,7.11,-14.9,180.0,top
R11,7.11,-13.9,180.0,top
R12,25.49,-34.7,180.0,top
R13,9.9,-10.0,0.0,top
R14,9.91,-11.0,0.0,top
R15,27.8,-5.01,90.0,top
R16,12.7,-18.99,270.0,top
R17,25.4,-28.29,270.0,top
R18,24.89,-32.0,180.0,top
R19,35.5,-88.49,90.0,top
R2,10.26,-58.895,90.0,top
R20,38.5,-88.49,270.0,top
R21,47.65,-77.61,90.0,top
R22,49.11,-71.4,180.0,top
R23,47.7,-69.89,90.0,top
R24,44.7,-75.54,90.0,top
R25,11.9,-82.49,90.0,top
R26,10.9,-82.49,90.0,top
R27,9.9,-82.49,90.0,top
R28,8.9,-82.5,90.0,top
R29,7.9,-82.49,90.0,top
R3,18.5,-70.49,270.0,top
R30,48.75,-77.61,90.0,top
R31,44.34,-71.4,0.0,top
R32,45.45,-70.3,0.0,top
R33,50.45,-76.01,270.0,top
R34,7.34,-72.4,180.0,top
R35,37.8,-48.99,90.0,top
R36,37.8,-51.31,270.0,top
R37,27.16,-6.7,180.0,top
R4,19.5,-70.49,270.0,top
R5,11.45,-58.895,270.0,top
R6,12.9,-58.895,270.0,top
R7,21.9,-30.05,270.0,top
R8,45.99,-60.5,0.0,top
R9,35.2,-27.29,270.0,top
SW1,1.62,-34.6,270.0,top
SW2,1.62,-74.2,270.0,top
SW3,52.65,-60.5,90.0,top
SW4,1.62,-13.7,270.0,top
SW5,1.62,-19.8,270.0,top
SW6,42.0,-2.35,180.0,top
U1,18.35,-65.3175,90.0,top
U10,47.6425,-74.25,180.0,top
U11,7.65,-75.85,90.0,top
U12,27.45,-76.3625,90.0,top
U2,12.99,-47.6,90.0,top
U3,36.05,-81.125,180.0,top
U4,5.5,-25.976,90.0,top
U5,20.0,-79.0906,270.0,top
U6,29.789726,-29.800001,90.0,top
U7,27.17,-3.0,0.0,top
U8,27.5,-25.0,90.0,bottom
U9,37.15,-68.2075,90.0,top
Y1,19.05,-30.06,180.0,top
